#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-05-29T19:33:31 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ60b296d3281370	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:I/239&tab:{I/239/hip_main}&key:source=I/239/hip_main&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=I/239/hip_main
#-order=I
#-out=HIP
#-out=Vmag
#-out=Plx
#-out=B-V
#-out=SpType
#HIPep=HIPep
#Erratum=Erratum
#

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	SpType	(a12)	Spectral type (H76)	[ucd=src.spType]
HIP;Vmag;Plx;B-V;SpType
 42838; 8.63;   0.99; 1.047;G8III
 42839; 8.44;   4.90; 0.134;A3
 42840; 8.67;   4.47; 0.968;G5
 42841; 8.28;   2.69; 0.814;G3III
 42842; 8.38;   6.76; 0.600;A4V
 42843; 8.91;   1.26; 0.218;A4V
 42844; 8.36;  12.09; 0.574;F8/G0V
 42845; 9.35;   7.85; 0.393;F8
 42847; 8.86;  15.85; 0.640;G2V
 42846; 8.27;   2.94; 1.024;K0III
 42848; 8.46;   5.80; 0.772;G5...
 42849; 8.18;   3.80; 0.032;B9.5III/IV
 42850; 6.33;   3.10; 1.501;K3III:
 42851; 8.25;   9.18; 0.357;F5
 42852; 7.89;   3.13; 1.291;K3III
 42853; 8.30;   2.91; 0.098;A0V
 42854; 6.37;   4.42;-0.040;B9.5III-IV
 42855; 9.40;   5.99; 0.594;G...
 42856; 8.48;   8.36; 0.500;G5
 42857; 6.99;   5.76; 0.982;G8III
 42858; 7.91;   3.56; 0.035;B9.5V
 42859; 8.52;   5.92; 0.180;A3V
 42860; 8.04;   4.51; 0.418;F2IV/V
 42861; 8.31;   3.05; 0.969;G6III/IV
 42862; 8.61;   8.97; 0.441;F5
 42863; 7.30;   5.69; 0.166;A2
 42864;10.96;   9.82; 0.598;sdF8:
 42865; 8.47;   0.72; 0.967;G5
 42866; 9.67;   3.42; 0.079;A0
 42867; 8.78;   2.14; 1.100;G8III
 42868; 7.23;   1.19;-0.111;B4V
 42869; 8.05;   3.02; 1.230;K0
 42870; 8.52;   1.81; 0.884;K0
 42871; 6.54;  15.31; 0.469;F7V
 42872; 9.28;  13.21; 0.632;G3V
 42873; 9.47;   2.61;-0.056;Asp...
 42874; 7.03;  10.95; 0.233;A2
 42875; 8.63;   5.50; 0.394;F0
 42876; 7.07;   2.34; 1.434;K2III
 42877;10.38;   3.96; 0.524;F8
 42878; 7.38;   5.00; 1.000;K0III
 42879; 6.78;   5.41; 1.404;K3III
 42880; 8.33;   0.47; 0.084;A0
 42882; 8.83;   2.70; 1.922;K5
 42881;10.65;  54.68; 1.432;M2V:
 42883; 8.86;   4.21; 0.121;A0
 42884; 4.05;  14.27; 0.874;G5III
 42885; 8.11;  19.52; 0.593;G2V
 42886; 8.40;  -0.83; 1.300;K2III
 42887; 9.32;   6.59; 0.316;F0
 42888; 8.49;   5.62; 0.230;A2
 42889; 8.14;  17.66; 0.625;G0V
 42890; 8.64;   4.32; 0.924;G5
 42891; 9.61;   3.93; 1.040;K0
 42893; 7.34;   2.20; 1.560;K4III
 42892; 8.57;   2.82; 0.960;G8III
 42894; 8.85;   2.13; 0.069;B9.5III
 42895; 6.03;  16.49; 0.217;A9V
 42896; 8.77;   1.97; 1.096;K0
 42897; 9.78;   4.40; 0.651;G0
 42898; 9.21;   5.08; 0.330;F8
 42899; 6.87;   8.18; 0.118;A0
 42900; 7.71;   2.04; 1.720;K2/K3III
 42901; 8.12;   4.47; 1.001;G8IV/VCNIII
 42902; 9.76;   0.03; 1.040;K2
 42903; 9.26;   4.76; 0.091;A0
 42904; 9.51;   5.48; 0.469;F5
 42905; 9.80;   9.77; 0.694;K0
 42906;10.00;   6.67; 0.404;F8
 42907; 7.63;   3.03; 1.198;K1IICN...
 42908; 7.34;  -0.49; 0.324;B0V
 42909; 8.18;   7.79; 0.293;F0V
 42910;10.16;  27.28; 1.225;K7V
 42911; 3.94;  23.97; 1.083;K0III
 42912; 6.72;   6.25; 1.263;K3III
 42913; 1.93;  40.90; 0.043;A1V
 42914; 8.21;  32.14; 0.763;G8V
 42915; 6.66;   8.03; 1.220;K2III
 42916; 7.20;  36.04; 0.743;G5V
 42917; 5.63;   8.00;-0.069;A1p...
 42918; 7.47;   3.23; 1.661;K5III
 42919; 8.91;  23.42; 0.800;K0III-IV
 42920; 8.03;   3.06; 0.960;K0
 42921; 9.02;   0.38; 1.792;M0
 42922; 6.56;  27.77; 0.567;G3IV
 42923; 5.74;   2.28;-0.139;B2III
 42924; 7.60;  14.69; 0.518;F5
 42925; 8.93;   9.70; 0.601;G0/G1V
 42926; 8.34;   1.54; 0.750;F8II
 42927; 8.88;   4.36; 1.177;K0
 42928; 6.10;  12.78; 0.195;A5V
 42929; 9.64;  -1.62; 1.212;K
 42930; 7.16;   3.89; 0.036;A0V
 42931; 6.13;  15.78; 0.200;A6V
 42932; 8.73;   0.20;-0.070;B7IV/V
 42933; 9.39;  -2.11;-0.036;B9II
 42934; 8.82;   5.59; 0.360;F8
 42935; 7.99;  12.64; 0.491;F6V
 42936; 6.20;   3.27;-0.083;B7III
 42937; 6.89;  14.73; 0.325;F0V
 42938; 8.96;  12.96; 0.613;G5
 42939; 8.78;   1.72;-0.054;B9V
 42940; 8.52;  38.47; 0.940;K3V
 42941; 7.26;  17.35; 0.496;F5
 42942; 8.18;   1.23;-0.056;B8II
 42943; 8.11;  10.72; 0.753;G5
 42944; 7.97;   3.88; 1.161;K1III
 42946; 8.06;   3.85; 1.134;K0IIICN...
 42945; 9.47;  -0.29; 0.915;K0
 42947; 9.61;   3.23; 0.460;F5
 42948; 8.88;   2.08; 1.405;K3III
 42949; 6.66;   5.18; 1.472;K0
 42950; 7.78;  10.73; 0.574;F8
 42952; 8.44;   4.93; 0.285;F0
 42951; 6.41;  11.50; 0.521;F2+...
 42953; 8.19;   7.75; 0.996;G8III
 42954; 6.12;   6.84; 0.935;G5III
 42955; 9.12;  -1.18; 0.265;A7IV
 42956; 8.61;   2.22; 1.202;K2
 42957; 6.55;   9.07; 1.008;G5
 42959; 7.98;  11.68; 0.435;F4V
 42958;10.64;   6.80; 0.812;
 42960; 8.33;   3.50; 0.104;A0
 42961; 9.43;   5.20; 0.370;F2
 42962; 9.81;   4.65; 0.403;F2
 42963; 9.90;  -3.37; 1.052;K0
 42964;12.81;  10.24;      ;
 42965;10.53;  12.02; 0.551;
 42966; 8.51;   6.01; 0.312;A5
 42967; 8.73;   0.49; 1.640;K2
 42968; 9.30;  18.23; 0.783;K0
 42969; 8.52;   0.53; 1.098;K0III
 42970; 6.77;  15.95; 0.390;F2
 42971; 8.26;   2.80; 1.145;K0
 42972; 8.36;  -0.58; 1.293;K2/K3III:+.
 42973; 7.83;   1.31; 1.572;K2
 42974; 9.85;   5.96; 0.351;F8
 42975; 8.98;   0.85; 2.100;C(R)e
 42976; 7.34;  15.77; 0.460;F2
 42977; 8.24;  14.69; 0.604;G0/G1V
 42978; 8.52;   8.62; 0.929;G5
 42979;10.60;   4.42; 0.290;
 42980; 8.18;   1.74; 1.060;K0III
 42981; 6.45;   7.87; 1.228;K0
 42982; 9.09;  23.10; 0.976;F8
 42983; 6.95;  12.08; 0.297;F0
 42984; 6.85;   6.18; 0.059;A1V
 42985; 8.20;   3.97; 1.079;K0III
 42986; 9.35;   5.07; 0.976;K0
 42987;10.81;   2.33; 0.484;F5
 42988; 7.65;   3.53;-0.087;B8Vp
 42989; 6.77;  12.01; 0.299;A8III:m
 42990; 9.17;   2.94; 1.094;K0
 42991; 9.67;   0.79;-0.028;B9V
 42992; 8.92;   7.16; 0.600;F6V
 42993; 8.03;   5.05; 0.244;Am
 42994; 7.47;   7.74; 0.077;A0
 42995; 8.23;   4.12; 0.486;F5
 42996; 7.24;   1.57;-0.038;B2III
 42997; 6.70;   2.88;-0.088;B8IV/V
 42998; 8.31;   2.35; 1.092;K0III
 43000; 7.45;   2.80;-0.140;B4IV
 42999; 9.44;   0.99; 1.440;K2III:
 43001; 8.72;   3.53; 1.010;G8III
 43002; 6.07;   9.14; 0.084;A3IV/V
 43003; 8.41;   5.47; 0.217;A6V
 43004; 7.58;  17.72; 0.518;F8
 43005; 6.87;   2.70; 0.041;A1/A2IV
 43006; 9.32;   3.13; 0.358;F0
 43007; 9.40;  10.93; 0.502;F8
 43008; 8.75;  10.43; 0.492;F8V
 43009; 8.00;   3.37; 0.997;K0III
 43010; 8.23;   4.89; 0.030;A1V
 43011; 8.84;   2.02; 0.054;B9IV
 43012; 5.79;   5.83; 1.595;K5III
 43013; 6.84;   5.06; 1.149;K1III
 43014; 7.34;   5.32; 0.030;A2
 43015; 6.99;   5.70; 0.837;G5/G6III
 43016; 8.43;   0.50; 1.620;K5
 43017; 7.46;   3.79; 1.163;K1III
 43018; 8.70;   0.34; 0.042;A0V
 43019; 7.89;   4.42; 1.172;K0
 43020; 8.40;   3.59; 0.488;F5III
 43021; 7.99;   2.43; 0.140;A0
 43022; 8.81;   3.61; 0.608;G0
 43023; 3.87;   2.10; 0.015;A1III
 43024;10.68;  11.79; 0.902;G5
 43025; 9.08;   7.14; 0.595;G0IV/V
 43026; 5.70;  11.71; 1.097;K0III:
 43027; 7.71;   3.61; 1.345;K5
 43028; 8.14;   5.02; 0.185;A2
 43029; 7.91;   1.99;-0.060;B8III/IV
 43030; 7.05;   2.19; 1.442;K2
 43031; 7.87;   1.52; 1.205;K1II/III
 43032; 9.86;   9.53; 0.542;G5
 43033; 8.85;   4.18; 1.039;G5
 43034; 7.49;   6.33; 1.379;K2
 43035; 6.22;   0.85; 1.608;K5III
 43036; 9.29;  16.48; 0.626;G5
 43037; 8.11;  11.20; 0.430;F3V
 43038; 8.34;  10.88; 0.543;F8V
 43039; 6.79;   0.24; 1.579;M3
 43040; 8.56;   0.60; 1.369;K2III
 43041; 7.09;   0.04; 1.321;K3III+...
 43043; 7.99;   8.77; 0.288;A2
 43042; 9.55;   1.02; 1.123;R...
 43044; 8.26;   6.26; 0.244;A2
 43045; 8.12;   4.14; 1.349;K2
 43046; 8.64;   3.54; 0.914;G5
 43047; 8.48;   0.62; 1.157;G5
 43048; 7.29;   9.63; 0.943;K1IV
 43049; 8.71;   5.11; 0.458;F3IV/V
 43050; 8.37;   4.10; 0.265;A5
 43051; 8.28;   3.32; 1.043;K0III
 43052; 8.63;   8.35; 0.522;F8
 43053; 9.74;   3.96; 0.890;K0
 43054; 7.80;  19.37; 0.637;G2V
 43055; 8.71;   2.42;-0.059;B8V
 43056; 9.97;  16.24; 0.807;G8/K0
 43057; 6.87;   1.99; 0.255;B5Ib
 43058; 8.71;   4.09; 0.364;F2
 43059; 7.97;   1.92;-0.096;B5V
 43060; 7.08;   5.38; 0.190;A5
 43061; 7.13;   7.91; 0.073;A2
 43062; 8.86;   4.09; 0.333;F0
 43063; 9.38;   1.00; 1.418;M7
 43064; 7.18;   5.40; 1.050;K1III
 43065; 8.40;   3.92; 1.348;K2III
 43066; 8.93;   4.65; 1.075;K0III
 43067; 4.32;  14.38; 0.900;G8III
 43069; 8.18;   6.37; 0.970;G8III/IV
 43068; 6.86;   4.79;-0.003;A0
 43070; 9.44;   7.88; 0.602;G0
 43071; 7.70;   5.37; 0.180;A5V
 43072; 8.90;  -0.67; 1.423;K2
 43073; 6.21;   4.53;-0.050;B9V
 43074; 7.34;   9.87; 0.515;F8
 43075; 8.93;   2.62; 1.019;G5
 43076; 7.97;   4.05; 0.972;G8III/IV
 43077; 8.93;   7.22; 0.521;F8
 43078; 8.20;   6.99; 0.230;A2
 43079; 7.87;   7.45; 0.382;F5
 43080; 9.27;   8.67; 0.617;G3V
 43081; 8.82;   3.68; 0.040;A0V
 43082; 5.43;   0.99; 0.238;B3Ia
 43083; 8.21;   2.03; 1.214;G3/G5III
 43084; 7.07;   6.81; 0.008;B9
 43085; 7.09;   2.62;-0.115;B4V
 43086; 9.18;   3.92; 0.356;A5
 43087; 8.69;   1.73;-0.057;B8V
 43088; 7.63;  -0.41; 1.439;K2/K3III
 43089; 7.43;   4.80; 1.041;K0
 43090; 9.00;   6.63; 0.769;G5
 43091; 8.88;   5.49; 0.520;G0...
 43092; 8.43;   3.70; 1.169;K0III
 43093; 7.29;  -0.11; 2.087;C
 43094; 7.73;   4.99; 1.064;G5
 43095; 7.89;   8.06; 0.415;F2V
 43096; 9.14;   4.63; 0.222;Am
 43097; 8.97;   3.05; 0.251;A8V
 43098; 8.37;   0.14; 0.075;B9.5V
 43099;10.24;   5.76; 0.311;A5
 43100; 6.58;  17.31; 0.051;G8II...
 43101;10.10;   0.49; 1.154;K
 43102; 8.78;   4.18; 1.061;K0
 43103; 4.03;  10.94; 1.007;G8Iab:
 43104; 8.38;   2.95;-0.073;B8/B9V
 43105; 4.50;   5.97;-0.169;B3Vne
 43106; 7.15;   7.41; 0.988;K0III
 43107; 7.06;   1.79;-0.081;B8III/IV
 43108; 6.60;   6.32; 1.032;K0III
 43109; 3.38;  24.13; 0.685;G0III-IV
 43110; 8.27;   2.86; 0.020;B9.5V
 43111; 8.81;   2.41; 1.566;K7
 43112;10.46;   4.49; 0.542;F8
 43113; 7.41;   4.42; 1.409;K5
 43114; 6.33;   3.64;-0.127;B3V
 43115; 7.62;   6.43; 0.126;A1V
 43116; 8.98;   3.46; 0.241;A2
 43117; 8.58;   0.73; 1.195;K2
 43118; 7.62;   7.21; 0.040;A1V
 43119; 9.81;   7.98; 0.518;F8
 43120; 9.08;   3.66; 1.599;K4III
 43121; 5.89;  16.38; 0.120;A1V
 43122; 8.78;   6.68; 0.598;G0V
 43123; 9.61;   3.12;      ;Ce
 43124; 9.45;   2.16; 1.177;G8
 43125; 7.51;   0.90; 0.322;O8
 43126; 9.62;   1.21; 0.110;A0
 43127; 8.95;   1.51; 0.220;A2
 43128; 6.60;   3.26;-0.120;B4IV
 43129; 6.60;  18.84; 0.676;G2IV
 43130; 7.65;   0.92; 1.556;K2
 43131; 7.51;  13.67; 0.415;F2
 43132; 8.39;   4.51; 0.330;A3III
 43133; 9.71;   5.76; 0.538;F0
 43134; 8.52;   5.00; 0.123;A5
 43135; 7.61;   5.19; 0.100;A0V
 43136; 7.38;   4.87; 0.017;B9
 43137; 8.53;   1.48; 0.148;G5
 43138; 8.28;   3.69; 0.099;A0
 43139; 8.43;   1.30; 0.979;G8III
 43140; 8.21;   7.22; 0.481;F5V
 43141; 7.80;  11.64; 0.625;G2V
 43142; 5.28;   9.61; 0.058;A3V
 43143; 7.13;   2.96; 1.521;K2
 43144; 9.61;   5.86; 1.175;K0III
 43145; 8.69;   6.58; 0.376;F8
 43146; 7.90;   5.10; 0.165;A2IV/V
 43147; 7.83;   7.33; 0.213;A0
 43148; 5.71;   0.90; 0.554;F0Ib
 43149; 8.59;   0.10; 0.034;B9.5V
 43150; 9.01;   2.90; 1.180;K0III
 43151; 9.23;  12.96; 0.659;G0
 43152; 6.48;   4.28; 0.679;A2V
 43153; 8.50;   0.51; 1.009;G8III
 43154; 7.46;   1.69; 0.045;A1V
 43155; 8.52;   2.59; 1.344;K2
 43156; 6.66;   5.91; 1.429;K4III
 43157; 9.45;   1.91; 0.241;A8
 43158; 7.42;   1.97; 0.302;B0II/III
 43159; 8.97;   2.40; 0.051;A0V
 43160; 8.39;   3.27; 1.236;K0
 43161; 8.48;   3.77; 1.039;K0
 43162; 9.23;   1.46; 0.135;A2
 43163; 8.63;   1.15;-0.055;B8V
 43164; 9.08;   5.01; 0.390;F5
 43165; 8.31;   1.60; 1.091;K2
 43166; 8.45;  -1.58; 1.485;K2/K3III
 43167; 7.82;   5.69; 0.084;B9
 43169; 7.50;   4.03; 0.149;A1m...
 43170; 9.84;  15.17; 0.960;K5V
 43171; 9.40;   7.77; 0.335;F2
 43172; 7.77;  17.66; 0.655;G0
 43173; 8.11;   3.75; 0.040;B9V
 43174; 8.47;   0.99; 1.699;K5/M0III
 43175; 9.69;   5.45; 1.043;K0
 43176; 6.99;   1.26;-0.161;B9.5V
 43177; 6.35;  34.55; 0.578;G0Ia0:
 43178; 8.67;   3.67; 1.297;K1III
 43179; 6.96;   4.54;-0.100;B2V
 43180; 9.36;   7.83; 0.740;G5
 43181; 8.13;   2.52;-0.072;A0
 43182; 7.13;   3.06;-0.120;B5V
 43183; 8.36;   2.90; 0.849;G5
 43184; 8.74;   2.97; 0.187;A0
 43185; 7.82;   9.26; 0.470;F8
 43186; 6.81;   7.55; 1.158;K1III
 43187; 7.23;   4.82; 0.850;K1III
 43188; 9.72;   4.95; 0.318;A5
 43189; 9.22;   7.55; 0.770;
 43190; 8.51;  17.14; 0.673;G3/G5V
 43191; 8.77;   7.43; 0.430;F2V
 43192; 8.34;   9.61; 0.411;F0
 43193; 8.76;  13.73; 0.590;G0V
 43194; 8.48;  14.80; 0.658;G0
 43195; 6.29;   7.02;-0.097;B8V
 43196; 9.29;   4.27; 1.220;K5
 43197; 6.71;  23.00; 0.424;F5IV/V
 43198; 8.06;   2.80; 1.487;K2
 43199;10.44;   0.71; 0.572;
 43200; 7.66;   4.96; 0.375;F0
 43201; 7.85;   6.75; 0.283;A2m...
 43202; 9.75;   2.87; 0.128;A0
 43203; 8.21;   4.01; 1.267;K2III
 43204; 6.09;   4.89; 1.282;K0
 43205; 8.17;  -0.35; 1.648;K5III
 43206; 7.22;   3.29; 1.426;K2
 43207; 9.28;   2.18; 1.542;M2
 43208; 9.16;   4.07; 0.980;K0
 43209; 6.43;   1.92;-0.178;B2IV
 43210; 9.26;  -0.11; 0.448;F5
 43211; 9.02;   6.61; 0.199;A3
 43212; 8.34;   5.76; 1.015;G5
 43213; 9.36;   2.87; 0.261;G5
 43214; 7.31;   8.15; 0.462;F5
 43215; 6.42;   4.23; 1.364;M5III
 43217; 8.58;   7.64; 0.536;F8
 43216;10.32;   7.92; 0.484;F5
 43218; 7.97;   5.35; 0.132;A2
 43219;10.26;  14.33; 0.787;
 43220; 8.01;  14.33; 0.564;F8
 43221; 8.10;   3.53; 1.389;K3III
 43222; 8.34;   3.24; 1.072;K1III
 43223;10.28;   5.84; 0.730;
 43224; 7.24;   4.61; 1.470;K2
 43226; 8.08;   3.81; 0.975;K0III
 43225;10.56;  23.13; 0.726;K2
 43227; 8.06;   3.34; 1.090;G8III
 43228; 8.69;   1.55; 0.968;G5IV
 43229; 9.03;   1.82; 0.211;B3Vn:e
 43230; 8.46;  11.93; 0.461;G0
 43231; 7.10;   5.43; 1.151;K0III
 43232; 8.58;  13.64; 0.568;F8
 43234; 4.35;   9.67;-0.044;A0Vn
 43233;10.35;  38.73; 1.296;M0
 43236; 9.03;   0.90; 0.696;F8
 43235; 7.31;   4.53; 0.928;G5
 43237; 7.32;   1.84; 1.477;K3IIICN...
 43238; 7.71;   3.34;-0.050;B7IV
 43239; 8.13;   3.79; 0.897;G8IV
 43240; 7.39;   2.65;-0.112;B6V
 43241; 6.93;   6.08; 1.082;K0
 43243; 9.02;   1.94; 1.390;G8III
 43242; 8.66;   3.80; 0.041;B9
 43244; 7.68;   4.29; 1.090;K0III
 43245; 6.91;   3.93; 1.555;M4III:
 43246; 6.42;   7.12; 1.142;K0
 43247; 9.28;   5.59; 0.391;F5
 43248; 8.28;   1.94; 0.283;A3m...
 43249; 8.03;   1.39; 1.183;K0III
 43250; 8.49;   4.35; 0.538;F5
 43251; 6.66;   2.24; 1.642;M3.5III:
 43252; 7.89;  12.31; 0.451;F5
 43253; 8.73;   1.11; 0.186;A1IV
 43254; 8.22;  -0.05; 1.391;K2
 43255; 8.30;   4.44; 0.268;A2
 43256; 8.23;  -1.36; 1.559;K3III
 43257; 7.15;   8.80; 0.275;Ap...
 43258; 8.31;   2.73;-0.041;B9.5V
 43259;10.04;   2.25; 1.433;K2
 43260; 7.83;   0.40; 0.383;B1/B2Ib
 43261; 8.57;   4.13; 0.136;A0m...
 43262; 7.87;   3.89; 1.190;G5
 43263; 8.19;   4.99; 1.235;K0
 43264; 9.51;   2.73; 0.247;A1IV
 43265;10.66;   5.63; 0.544;
 43266; 6.20;   6.34;-0.106;B8V
 43267; 9.30;  13.81; 0.682;G3/G5V
 43268; 8.75;   4.64; 1.045;G5III
 43269; 9.10;   4.73; 0.266;A1V
 43270; 8.26;   1.89; 1.117;K0
 43272; 7.04;   4.80; 1.007;K0III
 43271; 7.62;   6.52; 0.495;F5
 43273; 8.62;  15.02; 0.574;G0
 43274;10.99;  24.29; 1.360;M0
 43275; 9.39;   4.97; 1.148;K0
 43276; 8.80;  13.46; 0.573;G0
 43277; 8.37;   2.22; 0.077;A0IV
 43278; 8.11;   3.47; 1.039;G5
 43279; 7.27;   4.07; 0.064;A2...
 43280; 7.98;   0.77; 1.621;K3III
 43281; 8.19;   3.92;-0.019;B9V
 43282; 7.43;  -0.29;-0.065;B8/B9III
 43283;10.83;       ;      ;
 43284; 7.85;   0.98; 1.088;K0
 43285; 7.33;   3.03;-0.134;B3V
 43286; 8.45;   2.05; 1.132;G8III
 43287; 8.38;  11.79; 0.649;G1V
 43288; 8.75;   5.38; 0.455;F5
 43289; 8.32;   2.23; 1.420;K2
 43290; 7.83;  27.71; 0.651;G5V
 43291; 8.25;   4.49; 0.403;F0
 43292; 8.69;   3.27; 0.862;G8/K0III+..
 43293; 8.77;   4.23; 1.144;K1III
 43294; 8.91;   7.78; 0.627;G0V
 43295; 9.24;   1.77; 0.050;A0IV/V
 43296;11.24;  23.12; 1.588;M1
 43297; 7.45;  33.50; 0.689;G0
 43298; 7.77;   2.00; 0.957;G6III
 43299; 7.27;  24.09; 0.536;F7V
 43300; 8.16;  11.02; 0.457;F5V
 43301; 8.24;   1.66; 0.098;A0V
 43302;10.22;   6.90; 0.622;G0
 43303; 7.48;   2.91;-0.093;B6V
 43304; 7.96;  30.16; 0.746;G5
 43305; 5.30;   7.45;-0.080;B9MNp...
 43306; 8.41;   5.62; 1.096;G5
 43307; 8.09;   1.39; 1.040;K0III
 43308; 8.87;   0.00; 1.638;M...
 43309; 7.13;   4.13; 1.152;K0
 43310; 9.94;  28.89; 1.091;K7V
 43311; 8.39;  11.28; 0.576;G0
 43312; 8.53;   1.23; 1.530;K5
 43313;10.80;  30.65; 1.304;M0
 43314; 8.66;   3.51; 0.047;B9IV/V
 43315; 7.39;   1.23; 1.297;K2
 43316; 7.86;  11.49; 0.452;F3/F5V
 43317; 7.70;   6.33; 0.321;A5
 43318; 8.31;   2.94; 1.100;G8/K0III
 43319; 9.60;   8.85; 0.590;F7IV
 43320; 9.26;   2.19; 1.700;K3/K4III:
 43321; 7.70;   6.03; 0.267;F0V
 43322; 8.26;   3.37; 0.303;F0
 43323; 7.03;   4.27; 0.020;B9
 43324; 7.42;  11.40; 0.465;F3V
 43325; 5.47;   2.05; 0.066;A2/A3IV
 43329; 8.86;       ; 0.070;
 43327; 7.14;   5.40; 1.065;K0III
 43328; 8.41;   3.06; 0.119;A1IV/V
 43326; 7.47;   2.42;-0.139;B6III
 43330; 6.82;  11.86; 0.244;A5
 43331; 8.87;   4.44; 1.302;K3III
 43332; 7.09;   3.72; 1.284;K0
 43333; 8.11;   4.80; 0.056;A1V
 43334; 7.45;   4.50; 0.016;B9.5IV
 43335; 9.69;   4.04; 0.542;F8
 43336; 7.15;   2.15; 0.880;G5
 43337; 7.97;   5.74; 0.528;G0
 43338; 6.48;  12.47; 0.256;A6IV
 43339; 9.35;   4.41; 0.446;F5
 43340; 7.38;   3.91; 1.164;K2III
 43341; 8.01;   2.30;-0.050;B8/B9V
 43342; 8.92;   2.08; 0.119;B9IV
 43343; 9.32;   6.08; 0.304;F0
 43344; 9.45;       ;      ;
 43345; 7.95;   5.71; 0.108;A0
 43346; 7.90;   2.48;-0.033;B2III
 43347; 4.94;   3.94; 0.043;A2III
 43348; 9.41;   6.21; 0.706;G5
 43349; 9.11;   3.98; 0.180;A0
 43350; 6.67;  11.56; 1.065;K0
 43351; 6.10;   1.03; 0.185;A3m...
 43352; 5.19;  14.26; 0.876;G8III
 43353; 7.38;   5.77; 0.898;K0
 43354; 6.38;  12.82; 0.249;A2/A3II/III
 43355; 9.25;   2.01; 1.043;K0
 43356; 9.06;   5.17; 0.556;F6V
 43357; 7.24;   9.31; 0.928;G5
 43358; 7.15;  23.77; 0.503;F7V
 43359; 7.67;  -4.04; 0.450;F0
 43360; 8.56; -10.76; 0.477;F0
 43361; 8.31;   5.72; 0.311;F2
 43362; 6.94;   4.67; 0.011;B9
 43363; 9.73;  25.10; 1.070;K8
 43364; 8.61;   3.65; 0.067;A0V
 43365; 8.14;   4.43; 1.120;K0III
 43366; 8.84;   0.83; 1.374;K2III
 43367; 8.42;   6.07; 0.641;G0
 43368; 8.40;   7.51; 0.892;K0
 43369; 8.09;   1.98; 0.989;G5
 43370; 5.86;   3.47; 0.948;G8III
 43371; 9.50;  15.14; 0.772;G5
 43372; 8.96;   1.75; 0.342;F5
 43373; 9.47;   0.19; 1.253;K0
 43374; 9.20;  13.48; 0.691;G2V
 43376; 9.02;   8.31; 0.900;F5
 43375; 7.79;   4.33; 1.070;K0
 43377; 8.27;   2.14;-0.002;B9.5V
 43378; 8.46;   2.11; 1.369;K0
 43379; 8.01;   6.47; 0.561;K1IIICN...
 43380; 7.55;   3.95; 0.264;F0IV
 43381;10.14;   9.24; 0.696;G0
 43382; 9.76;   7.38; 0.527;G0
 43383; 7.75;   4.21; 0.983;G8III
 43384; 8.99;   1.89; 0.990;K0
 43385; 7.68;   7.03; 0.105;A1IV
 43386; 8.57;   1.80; 0.013;B8V
 43387; 8.75;   1.97; 1.166;K0
 43388; 7.50;   6.88; 0.980;K0III
 43389; 7.69;   1.82; 0.277;A8III/IV
 43390; 9.57;   0.34; 0.947;K0
 43391; 9.86;   0.66; 1.232;G8
 43392; 6.00;   1.71;-0.114;O9V
 43393; 9.18;  18.78; 0.735;G8V
 43394; 6.17;   8.87;-0.055;B9V
 43395; 8.39;   0.17;-0.078;B2III
 43396; 6.90;   2.15;-0.108;B5IV
 43397; 6.92;   5.44; 0.924;K0
 43398; 7.95;   1.42; 0.067;B9III
 43399; 9.33;   2.00; 1.401;K2
 43400; 8.63;   1.95;-0.020;B9V
 43402; 7.58;   3.07; 1.280;K2III
 43401; 8.79;   4.25; 0.323;F0
 43403; 8.05;   3.27; 0.181;A3III/IV
 43404; 8.81;   1.91; 1.669;K4III
 43405;10.21;   5.00; 0.580;F8
 43406;11.28;  -0.63; 0.750;
 43407; 7.51;   1.99; 1.550;K4III
 43408; 8.35;   2.37; 0.987;G8III
 43409; 4.02;  15.63; 1.272;K3III
 43410; 6.22;  34.86; 0.549;F7Vn
 43411; 9.06;   2.13; 1.212;K2
 43412; 7.99;   5.96; 0.184;A3
 43413; 5.09;   1.21;-0.205;B0III
 43414; 5.34;  19.04; 0.423;F5IV
 43415; 8.70;   0.66; 1.025;K0
 43416;10.70;   2.69; 0.570;F8
